GARD:0000001 ! GRACILE syndrome	ORPHANET:53693	OMIM:603358 ! GRACILE syndrome
GARD:0005244 ! Tremor hereditary essential, 1	UMLS:C1860861	OMIM:190300 ! Tremor, Hereditary Essential, 1
GARD:0005250 ! Trichinosis	ORPHANET:863	DOID:9784 ! trichinosis
GARD:0005252 ! Tricho-dento-osseous syndrome 1	OMIM:190320 ! Tricho-dento-osseous syndrome	MESH:C536550 ! Tricho-dento-osseous syndrome 1
GARD:0005252 ! Tricho-dento-osseous syndrome 1	UMLS:C2931236	MESH:C536550 ! Tricho-dento-osseous syndrome 1
GARD:0005258 ! Tricho-hepato-enteric syndrome	ORPHANET:84064	MESH:C565627 ! Trichohepatoenteric Syndrome,OMIM:604369 ! Salla disease
GARD:0005261 ! Trichodysplasia xeroderma	UMLS:C1860822	OMIM:190360 ! Trichodysplasia - xeroderma
GARD:0005266 ! Trichomegaly with intellectual disability, dwarfism and pigmentary degeneration of retina	ORPHANET:3363	OMIM:275400 ! Oliver-Mcfarlane Syndrome,Orphanet:3363 ! Trichomegaly - retina pigmentary degeneration - dwarfism
GARD:0005266 ! Trichomegaly with intellectual disability, dwarfism and pigmentary degeneration of retina	UMLS:C1848745	OMIM:275400 ! Oliver-Mcfarlane Syndrome,Orphanet:3363 ! Trichomegaly - retina pigmentary degeneration - dwarfism
GARD:0005267 ! Trichoodontoonychial dysplasia	UMLS:C1848744	Orphanet:3355 ! Trichoodontoonychial dysplasia
GARD:0005269 ! Trichostasis spinulosa	ORPHANET:866	MESH:C536558 ! Trichostasis spinulosa
GARD:0005269 ! Trichostasis spinulosa	UMLS:C0263487	MESH:C536558 ! Trichostasis spinulosa
GARD:0005270 ! Trichothiodystrophy photosensitive	ORPHANET:33364	DOID:2960 ! photosensitive trichothiodystrophy,OMIM:601675 ! Trichothiodystrophy 1, Photosensitive
GARD:0005270 ! Trichothiodystrophy photosensitive	UMLS:C1866504	DOID:2960 ! photosensitive trichothiodystrophy,OMIM:601675 ! Trichothiodystrophy 1, Photosensitive
GARD:0005271 ! Trichothiodystrophy nonphotosensitive	OMIM:601675 ! Trichothiodystrophy 1, Photosensitive	DOID:0050528 ! nonphotosensitive trichothiodystrophy
GARD:0005271 ! Trichothiodystrophy nonphotosensitive	ORPHANET:33364	DOID:0050528 ! nonphotosensitive trichothiodystrophy
GARD:0005271 ! Trichothiodystrophy nonphotosensitive	UMLS:C1961117	DOID:0050528 ! nonphotosensitive trichothiodystrophy
GARD:0005274 ! Tricuspid atresia	ORPHANET:1209	OMIM:605067 ! Tricuspid atresia
GARD:0005277 ! Trigonocephaly bifid nose acral anomalies	ORPHANET:3368	Orphanet:3368 ! Trigonocephaly - bifid nose - acral anomalies
GARD:0005279 ! Baraitser-Winter syndrome	UMLS:C1855722	DOID:0060229 ! Baraitser-Winter syndrome,OMIM:243310 ! Baraitser-Winter Syndrome 1
GARD:0005280 ! Trigonocephaly ptosis mental retardation	UMLS:C1855722	OMIM:243310 ! Baraitser-Winter Syndrome 1
GARD:0005287 ! Triose phosphate-isomerase deficiency	ORPHANET:868	OMIM:615512 ! triosephosphate isomerase deficiency
GARD:0005289 ! Preaxial polydactyly type 2	ORPHANET:93336	OMIM:174500 ! Polydactyly, Preaxial 2
GARD:0005289 ! Preaxial polydactyly type 2	UMLS:C1969369	OMIM:174500 ! Polydactyly, Preaxial 2
GARD:0005290 ! Triphalangeal thumbs brachyectrodactyly	ORPHANET:2947	OMIM:190680 ! Triphalangeal thumbs - brachyectrodactyly
GARD:0005295 ! Triploidy	ORPHANET:3376	OMIA:001180 ! Triploidy,Orphanet:3376 ! Triploidy
GARD:0005299 ! Chromosome 10p duplication	ORPHANET:171929	Orphanet:171929 ! Trisomy 10p
GARD:0005305 ! Chromosome 12p duplication	ORPHANET:1699	Orphanet:1699 ! Trisomy 12p
GARD:0005305 ! Chromosome 12p duplication	UMLS:C0795845	Orphanet:1699 ! Trisomy 12p
GARD:0005313 ! Chromosome 15, trisomy mosaicism	ORPHANET:1706	Orphanet:1706 ! Mosaic trisomy 15
GARD:0005317 ! Trisomy 17 mosaicism	ORPHANET:1711	Orphanet:1711 ! Mosaic trisomy 17
GARD:0005317 ! Trisomy 17 mosaicism	UMLS:C1096168	Orphanet:1711 ! Mosaic trisomy 17
GARD:0005318 ! Chromosome 17p duplication	ORPHANET:261290	Orphanet:261290 ! Trisomy 17p
GARD:0005323 ! Chromosome 18p duplication	ORPHANET:1715	Orphanet:1715 ! Trisomy 18p
GARD:0005331 ! Trisomy 2 mosaicism	ORPHANET:1723	Orphanet:1723 ! Mosaic trisomy 2
GARD:0005332 ! Chromosome 20 trisomy	UMLS:C0265479	Orphanet:1724 ! Mosaic trisomy 20
GARD:0005335 ! Trisomy 22	UMLS:C0265490	MESH:C536799 ! Chromosome 22, trisomy
GARD:0005342 ! Trisomy 3 mosaicism	ORPHANET:100071	Orphanet:100071 ! Mosaic trisomy 3
GARD:0005345 ! Chromosome 3q duplication	UMLS:C0795809	MESH:C536813 ! Chromosome 3, trisomy 3q
GARD:0005359 ! Mosaic trisomy 8	ORPHANET:96061	Orphanet:96061 ! Mosaic trisomy 8
GARD:0005361 ! Chromosome 8p duplication	UMLS:C0795825	Orphanet:264450 ! Trisomy 8p
GARD:0005362 ! Chromosome 8q duplication	ORPHANET:1752	Orphanet:1752 ! Trisomy 8q
GARD:0005364 ! Chromosome 9p duplication	UMLS:C0265428	Orphanet:236 ! Trisomy 9p
GARD:0005372 ! Troyer syndrome	ORPHANET:101000	OMIM:275900 ! Troyer syndrome
GARD:0005372 ! Troyer syndrome	UMLS:C0393559	OMIM:275900 ! Troyer syndrome
GARD:0005376 ! Trueb Burg Bottani syndrome	UMLS:C2931239	MESH:C536565 ! Trueb Burg Bottani syndrome
GARD:0005381 ! Tuberous sclerosis, type 2	OMIM:191100 ! Tuberous Sclerosis 1	OMIM:613254 ! Tuberous Sclerosis 2
GARD:0005388 ! Tyrosine-oxidase temporary deficiency	ORPHANET:3402	Orphanet:3402 ! Transient tyrosinemia of the newborn
GARD:0005392 ! Galactose epimerase deficiency	ORPHANET:79238	OMIM:230350 ! Galactose epimerase deficiency
GARD:0005392 ! Galactose epimerase deficiency	UMLS:C0751161	OMIM:230350 ! Galactose epimerase deficiency
GARD:0005393 ! Uhl anomaly	ORPHANET:3403	OMIM:107970 ! Arrhythmogenic Right Ventricular Dysplasia, Familial, 1,Orphanet:3403 ! Uhl anomaly
GARD:0005394 ! Renal dysplasia-limb defects syndrome	ORPHANET:3404	OMIM:266910 ! Renal Dysplasia-Limb Defects Syndrome
GARD:0005394 ! Renal dysplasia-limb defects syndrome	UMLS:C1849438	OMIM:266910 ! Renal Dysplasia-Limb Defects Syndrome
GARD:0005395 ! Ulerythema ophryogenesis	UMLS:C0263429	Orphanet:3406 ! Ulerythema ophryogenesis
GARD:0005398 ! Ulna hypoplasia with mental retardation	OMIM:276821 ! Ulnar Hypoplasia With Mental Retardation	MESH:C536934 ! Ulna hypoplasia with mental retardation
GARD:0005398 ! Ulna hypoplasia with mental retardation	UMLS:C2931370	MESH:C536934 ! Ulna hypoplasia with mental retardation
GARD:0005400 ! Ulnar hypoplasia lobster claw deformity of feet	ORPHANET:1122	OMIM:314360 ! Ulnar Hypoplasia With Lobster-Claw Deformity of Feet
GARD:0005400 ! Ulnar hypoplasia lobster claw deformity of feet	UMLS:C1839123	OMIM:314360 ! Ulnar Hypoplasia With Lobster-Claw Deformity of Feet
GARD:0005404 ! Uncombable hair syndrome	ORPHANET:1410	OMIM:191480 ! Uncombable hair syndrome
GARD:0005406 ! Chromosome 10, uniparental disomy	UMLS:C2931794	Orphanet:96063 ! Mosaic trisomy 10
GARD:0005407 ! Uniparental disomy of chromosome 11	ORPHANET:263034	MESH:C536468 ! Uniparental disomy of 11
GARD:0005407 ! Uniparental disomy of chromosome 11	UMLS:C1507333	MESH:C536468 ! Uniparental disomy of 11
GARD:0005408 ! Chromosome 17q11.2 deletion syndrome	OMIM:613675 ! Chromosome 17Q11.2 Deletion Syndrome, 1.4-Mb	Orphanet:97678 ! Maternal uniparental disomy of chromosome 13
GARD:0005408 ! Chromosome 17q11.2 deletion syndrome	ORPHANET:263044	Orphanet:97678 ! Maternal uniparental disomy of chromosome 13
GARD:0005408 ! Chromosome 17q11.2 deletion syndrome	UMLS:C2931198	Orphanet:97678 ! Maternal uniparental disomy of chromosome 13
GARD:0005409 ! Uniparental disomy, paternal, chromosome 14	ORPHANET:263049	OMIM:608149 ! Paternal uniparental disomy of chromosome 14
GARD:0005411 ! Chromosome 16, uniparental disomy	UMLS:C2931712	MESH:C538043 ! Chromosome 16, uniparental disomy
GARD:0005412 ! Uniparental disomy of chromosome 2	UMLS:C2931199	MESH:C536470 ! Uniparental disomy of chromosome 2
GARD:0005413 ! Chromosome 21, uniparental disomy	ORPHANET:263064	MESH:C536794 ! Chromosome 21, uniparental disomy of
GARD:0005413 ! Chromosome 21, uniparental disomy	UMLS:C2931324	MESH:C536794 ! Chromosome 21, uniparental disomy of
GARD:0005421 ! Upington disease	ORPHANET:3408	OMIM:191520 ! Upington disease
GARD:0005426 ! Prader-Willi habitus, osteopenia, and camptodactyly	ORPHANET:3409	OMIM:264010 ! Urban-Rogers-Meyer syndrome
GARD:0005426 ! Prader-Willi habitus, osteopenia, and camptodactyly	UMLS:C0796189	OMIM:264010 ! Urban-Rogers-Meyer syndrome
GARD:0005427 ! Hereditary mucoepithelial dysplasia	ORPHANET:1839	OMIM:158310 ! Hereditary mucoepithelial dysplasia
GARD:0005427 ! Hereditary mucoepithelial dysplasia	UMLS:C1274795	OMIM:158310 ! Hereditary mucoepithelial dysplasia
GARD:0005428 ! Urethral obstruction sequence	UMLS:C0265363	MESH:C536477 ! Urethral obstruction sequence
GARD:0005429 ! Orotic aciduria type 1	ORPHANET:30	OMIM:258900 ! orotic aciduria,Orphanet:30 ! Hereditary orotic aciduria,http://www.ncbi.nlm.nih.gov/gene/281568 ! UMPS
GARD:0005430 ! Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly	UMLS:C1856159	OMIM:235255 ! Mullerian Derivatives, Persistence Of, With Lymphangiectasia and Postaxial Polydactyly
GARD:0005432 ! Urogenital adysplasia	UMLS:C2674045	OMIM:277000 ! Mayer-Rokitansky-Kuster-Hauser Syndrome
GARD:0005433 ! Uropathy distal obstructive polydactyly	OMIM:249000 ! Meckel Syndrome, Type 1	MESH:C536483 ! Uropathy distal obstructive polydactyly
GARD:0005433 ! Uropathy distal obstructive polydactyly	UMLS:C2931204	MESH:C536483 ! Uropathy distal obstructive polydactyly
GARD:0005435 ! Usher syndrome, type 1	ORPHANET:231169	OMIM:276900 ! Usher Syndrome, Type 1,Orphanet:231169 ! Usher syndrome type 1
GARD:0005436 ! Usher syndrome, type 1B	UMLS:C2931206	OMIM:276900 ! Usher Syndrome, Type 1
GARD:0005440 ! Usher syndrome type 2A	ORPHANET:231178	OMIM:276901 ! Usher Syndrome, Type 2A
GARD:0005441 ! Usher syndrome, type 2B	OMIM:276905	MESH:C536491 ! Usher syndrome, type 2B
GARD:0005441 ! Usher syndrome, type 2B	UMLS:C2931212	MESH:C536491 ! Usher syndrome, type 2B
GARD:0005442 ! Usher syndrome type 3	OMIM:606397	OMIM:276902 ! Usher Syndrome, Type 3A,Orphanet:231183 ! Usher syndrome type 3
GARD:0005443 ! VACTERL association	ORPHANET:887	DOID:14679 ! VACTERL association,OMIM:192350 ! Vater Association
GARD:0005445 ! Mayer-Rokitansky-Kuster-Hauser syndrome	ORPHANET:3109	OMIM:277000 ! Mayer-Rokitansky-Kuster-Hauser Syndrome
GARD:0005445 ! Mayer-Rokitansky-Kuster-Hauser syndrome	UMLS:C1698581	OMIM:277000 ! Mayer-Rokitansky-Kuster-Hauser Syndrome
GARD:0005447 ! Fetal valproate syndrome	ORPHANET:1906	OMIM:609442 ! Fetal valproate syndrome
GARD:0005453 ! Van Den Bosch syndrome	ORPHANET:3417	OMIM:314500 ! Van den Bosch syndrome
GARD:0005453 ! Van Den Bosch syndrome	UMLS:C0796192	OMIM:314500 ! Van den Bosch syndrome
GARD:0005456 ! Van Maldergem Wetzburger Verloes syndrome	UMLS:C1832390	DOID:0060238 ! Van Maldergem syndrome
GARD:0005458 ! Orofaciodigital syndrome 6	ORPHANET:2754	DOID:0060376 ! Joubert syndrome with orofaciodigital defect,OMIM:277170 ! Orofaciodigital Syndrome 6
GARD:0005458 ! Orofaciodigital syndrome 6	UMLS:C2745997	DOID:0060376 ! Joubert syndrome with orofaciodigital defect,OMIM:277170 ! Orofaciodigital Syndrome 6
GARD:0005459 ! Varicella virus antenatal infection	ORPHANET:291	Orphanet:291 ! Fetal varicella syndrome
GARD:0005461 ! Congenital bilateral absence of the vas deferens	ORPHANET:48	OMIM:277180 ! Vas Deferens, Congenital Bilateral Aplasia of,Orphanet:48 ! Congenital bilateral absence of vas deferens
GARD:0005463 ! Vascular malposition	ORPHANET:2452	Orphanet:2452 ! Vascular malposition
GARD:0005465 ! Vasquez Hurst Sotos syndrome	UMLS:C2931231	MESH:C536533 ! Vasquez Hurst Sotos syndrome
GARD:0005467 ! Vein of Galen aneurysm	ORPHANET:1053	Orphanet:1053 ! Vein of Galen aneurysm
GARD:0005469 ! Velofacioskeletal syndrome	UMLS:C1833380	OMIM:600736 ! Velofacioskeletal Syndrome
GARD:0005470 ! Palatopharyngeal incompetence	ORPHANET:2291	OMIM:167500 ! Palatopharyngeal Incompetence
GARD:0005472 ! Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence	ORPHANET:3201	OMIM:192445 ! Ventricular Extrasystoles With Syncope, Perodactyly, and Robin Sequence,Orphanet:3201 ! Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence
GARD:0005472 ! Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence	UMLS:C2931232	OMIM:192445 ! Ventricular Extrasystoles With Syncope, Perodactyly, and Robin Sequence,Orphanet:3201 ! Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence
GARD:0005478 ! Verloes Bourguignon syndrome	ORPHANET:2899	OMIM:601216 ! Platyspondyly With Amelogenesis Imperfecta,Orphanet:2899 ! Brachyolmia-amelogenesis imperfecta syndrome
GARD:0005478 ! Verloes Bourguignon syndrome	UMLS:C1832594	OMIM:601216 ! Platyspondyly With Amelogenesis Imperfecta,Orphanet:2899 ! Brachyolmia-amelogenesis imperfecta syndrome
GARD:0005481 ! Verloes Van Maldergem Marneffe syndrome	ORPHANET:2551	MESH:C536540 ! Verloes Van Maldergem Marneffe syndrome,OMIM:157151 ! Microspherophakia - metaphyseal dysplasia
GARD:0005482 ! Verloove Vanhorick Brubakk syndrome	ORPHANET:3429	OMIM:215850 ! Cleft-Limb-Heart Malformation Syndrome,Orphanet:3429 ! Verloove Vanhorick-Brubakk syndrome
GARD:0005484 ! Inflammatory linear verrucous epidermal nevus	ORPHANET:79466	Orphanet:79466 ! Inflammatory linear verrucous epidermal nevus
GARD:0005485 ! Verrucous nevus acanthokeratolytic	ORPHANET:79468	Orphanet:79468 ! Acanthokeratolytic verrucous nevus
GARD:0005486 ! Vertebral body fusion overgrowth	UMLS:C2931234	MESH:C536543 ! Vertebral body fusion overgrowth
GARD:0005487 ! Vertebral fusion posterior lumbosacral blepharoptosis	UMLS:C1860464	OMIM:192800 ! Vertebral Fusion, Posterior Lumbosacral, With Blepharoptosis
GARD:0005488 ! Vertical talus, congenital	ORPHANET:178382	OMIM:192950 ! Congenital vertical talus
GARD:0005490 ! Viljoen Kallis Voges syndrome	ORPHANET:3433	MESH:C536349 ! Viljoen Kallis Voges syndrome
GARD:0005490 ! Viljoen Kallis Voges syndrome	UMLS:C2931177	MESH:C536349 ! Viljoen Kallis Voges syndrome
GARD:0005493 ! VIPoma	ORPHANET:97282	DOID:5574 ! VIPoma
GARD:0005494 ! Viral hemorrhagic fever	UMLS:C0019104	Orphanet:341 ! Viral hemorrhagic fever
GARD:0005496 ! Familial visceral myopathy with external ophthalmoplegia	ORPHANET:1876	OMIM:277320 ! Oculogastrointestinal muscular dystrophy
GARD:0005500 ! Methylmalonic aciduria, cblA type	ORPHANET:79310	DOID:14749 ! methylmalonic acidemia,OMIM:251100 ! Methylmalonic Aciduria, Cbla Type
GARD:0005500 ! Methylmalonic aciduria, cblA type	UMLS:C1855109	DOID:14749 ! methylmalonic acidemia,OMIM:251100 ! Methylmalonic Aciduria, Cbla Type
GARD:0005508 ! VLCAD deficiency	OMIM:609575	OMIM:201475 ! Very long chain acyl-CoA dehydrogenase deficiency
GARD:0005508 ! VLCAD deficiency	ORPHANET:26793	OMIM:201475 ! Very long chain acyl-CoA dehydrogenase deficiency
GARD:0005508 ! VLCAD deficiency	UMLS:C0342784	OMIM:201475 ! Very long chain acyl-CoA dehydrogenase deficiency
GARD:0005509 ! Vocal cord dysfunction familial	ORPHANET:2808	MESH:C536354 ! Vocal cord dysfunction familial,MESH:D064706 ! Vocal Cord Dysfunction,OMIM:150260 ! Laryngeal Abductor Paralysis,OMIM:308850 ! Laryngeal Abductor Paralysis
GARD:0005509 ! Vocal cord dysfunction familial	UMLS:C0396059	MESH:C536354 ! Vocal cord dysfunction familial,MESH:D064706 ! Vocal Cord Dysfunction,OMIM:150260 ! Laryngeal Abductor Paralysis,OMIM:308850 ! Laryngeal Abductor Paralysis
GARD:0005513 ! MURCS association	ORPHANET:2578	OMIM:601076 ! Mullerian Duct Aplasia, Unilateral Renal Agenesis, and Cervicothoracic Somite Anomalies,Orphanet:2578 ! MURCS association
GARD:0005518 ! Hydrocephalus, costovertebral dysplasia, and Sprengel anomaly	ORPHANET:2180	OMIM:600991 ! Hydrocephalus - costovertebral dysplasia - Sprengel anomaly
GARD:0005519 ! Waardenburg syndrome type 1	ORPHANET:894	OMIM:193500 ! Waardenburg syndrome type 1
GARD:0005520 ! Waardenburg syndrome type 2	ORPHANET:895	Orphanet:895 ! Waardenburg syndrome type 2
GARD:0005521 ! Waardenburg syndrome type 2A	UMLS:C1860339	OMIA:001401 ! Waardenburg syndrome, type 2A,OMIM:193510 ! Waardenburg Syndrome, Type 2A
GARD:0005522 ! Waardenburg syndrome type 2B	UMLS:C1838447	OMIM:600193 ! Waardenburg Syndrome, Type 2B
GARD:0005523 ! Waardenburg syndrome type 3	ORPHANET:896	OMIM:148820 ! Waardenburg syndrome type 3
GARD:0005523 ! Waardenburg syndrome type 3	UMLS:C0079661	OMIM:148820 ! Waardenburg syndrome type 3
GARD:0005528 ! WAGR syndrome	ORPHANET:893	DOID:14515 ! WAGR syndrome,OMIM:194072 ! Wilms Tumor, Aniridia, Genitourinary Anomalies, and Mental Retardation Syndrome
GARD:0005529 ! Walbaum Titran Durieux Crepin syndrome	UMLS:C2931240	MESH:C536566 ! Walbaum Titran Durieux Crepin syndrome
GARD:0005530 ! Walker Dyson syndrome	UMLS:C2931243	MESH:C536568 ! Walker Dyson syndrome
GARD:0005532 ! Cleidorhizomelic syndrome	ORPHANET:1453	OMIM:119650 ! Cleidorhizomelic syndrome
GARD:0005534 ! Warburg micro syndrome	ORPHANET:2510	DOID:0060237 ! Warburg micro syndrome
GARD:0005534 ! Warburg micro syndrome	UMLS:C1838625	DOID:0060237 ! Warburg micro syndrome
GARD:0005535 ! Yemenite deaf-blind hypopigmentation syndrome	ORPHANET:3214	OMIM:601706 ! Deaf blind hypopigmentation syndrome, Yemenite type
GARD:0005538 ! Warman Mulliken Hayward syndrome	ORPHANET:1541	MESH:C536684 ! Warman Mulliken Hayward syndrome,OMIM:604757 ! Craniosynostosis, Boston type
GARD:0005539 ! Acromelic frontonasal dysostosis	ORPHANET:1827	OMIM:603671 ! acromelic frontonasal dysostosis,OMIM:608068 ! Sweet syndrome
GARD:0005540 ! Watson syndrome	ORPHANET:3444	OMIM:193520 ! Watson Syndrome
GARD:0005540 ! Watson syndrome	UMLS:C0553586	OMIM:193520 ! Watson Syndrome
GARD:0005544 ! Weaver like syndrome	ORPHANET:3446	OMIM:277590 ! Weaver syndrome
GARD:0005544 ! Weaver like syndrome	UMLS:C0220765	OMIM:277590 ! Weaver syndrome
GARD:0005545 ! Weaver Williams syndrome	UMLS:C0796198	OMIM:277590 ! Weaver syndrome
GARD:0005552 ! Welander distal myopathy, Swedish type	ORPHANET:603	OMIM:604454 ! Distal myopathy, Welander type
GARD:0005554 ! Wellesley Carmen French syndrome	UMLS:C1861835	OMIM:115645 ! Cataract, Aberrant Oral Frenula, and Growth Retardation
GARD:0005555 ! Wells-Jankovic syndrome	ORPHANET:2815	MESH:C536692 ! Wells Jankovic syndrome,OMIM:312910 ! Spastic paraparesis - deafness
GARD:0005557 ! Westphal disease	OMIM:143100 ! Huntington's disease	MESH:C536694 ! Westphal disease
GARD:0005557 ! Westphal disease	UMLS:C1279186	MESH:C536694 ! Westphal disease
GARD:0005558 ! Whitaker syndrome	UMLS:C0085859	DOID:0050167 ! autoimmune polyendocrine syndrome type 1
GARD:0005560 ! White matter hypoplasia, corpus callosum agenesia, and mental retardation	UMLS:C2931292	MESH:C536701 ! Curatolo Cilio Pessagno syndrome
GARD:0005562 ! Osteopathia striata with pigmentary dermopathy including white forelock	OMIM:311280	MESH:C536054 ! Whyte Murphy syndrome
GARD:0005562 ! Osteopathia striata with pigmentary dermopathy including white forelock	UMLS:C2931096	MESH:C536054 ! Whyte Murphy syndrome
GARD:0005565 ! Wiedemann-Steiner syndrome	UMLS:C2931294	OMIM:605130 ! Wiedemann-Steiner syndrome
GARD:0005569 ! Wildervanck syndrome	ORPHANET:3456	OMIM:314600 ! Wildervanck syndrome
GARD:0005573 ! Acquired Von Willebrand syndrome	ORPHANET:99147	Orphanet:99147 ! Acquired von Willebrand syndrome
GARD:0005575 ! Prader-Willi syndrome	ORPHANET:739	OMIM:176270 ! Prader-Willi syndrome
GARD:0005575 ! Prader-Willi syndrome	UMLS:C0032897	OMIM:176270 ! Prader-Willi syndrome
GARD:0005576 ! Denys-Drash syndrome	ORPHANET:220	OMIM:194080 ! Denys-Drash syndrome
GARD:0005576 ! Denys-Drash syndrome	UMLS:C0950121	OMIM:194080 ! Denys-Drash syndrome
GARD:0005578 ! Wilms tumor and radial bilateral aplasia	ORPHANET:3458	OMIM:601583 ! Wilms Tumor 5
GARD:0005578 ! Wilms tumor and radial bilateral aplasia	UMLS:C1832099	OMIM:601583 ! Wilms Tumor 5
GARD:0005579 ! Wilson-Turner syndrome	ORPHANET:3459	Orphanet:3459 ! Wilson-Turner syndrome
GARD:0005579 ! Wilson-Turner syndrome	UMLS:C1839736	Orphanet:3459 ! Wilson-Turner syndrome
GARD:0005580 ! Winkelman Bethge Pfeiffer syndrome	UMLS:C1857330	OMIM:221750 ! Pituitary Hormone Deficiency, Combined, 3
GARD:0005583 ! Winter Harding Hyde syndrome	UMLS:C2931295	MESH:C536712 ! Winter Harding Hyde syndrome
GARD:0005584 ! Curry Jones syndrome	ORPHANET:1553	OMIM:601707 ! Curry-Jones syndrome
GARD:0005584 ! Curry Jones syndrome	UMLS:C0795915	OMIM:601707 ! Curry-Jones syndrome
GARD:0005587 ! Witkop syndrome	ORPHANET:2228	OMIM:189500 ! tooth and nail syndrome
GARD:0005587 ! Witkop syndrome	UMLS:C0406735	OMIM:189500 ! tooth and nail syndrome
GARD:0005589 ! Epiphyseal dysplasia multiple with early-onset diabetes mellitus	ORPHANET:1667	OMIM:226980 ! Wolcott-Rallison syndrome
GARD:0005592 ! Woodhouse Sakati syndrome	ORPHANET:3464	OMIM:241080 ! Woodhouse-Sakati syndrome
GARD:0005593 ! Intrauterine growth retardation with increased mitomycin C sensitivity	UMLS:C1833615	OMIM:600546 ! Intrauterine Growth Retardation With Increased Mitomycin C Sensitivity
GARD:0005594 ! Woolly hair hypotrichosis everted lower lip and outstanding ears	ORPHANET:1409	OMIM:278200 ! Woolly hair - hypotrichosis - everted lower lip - outstanding ears
GARD:0005595 ! Cardiomyopathy dilated with woolly hair and keratoderma	ORPHANET:65282	OMIM:605676 ! Cardiomyopathy, Dilated, With Woolly Hair and Keratoderma
GARD:0005595 ! Cardiomyopathy dilated with woolly hair and keratoderma	UMLS:C1854063	OMIM:605676 ! Cardiomyopathy, Dilated, With Woolly Hair and Keratoderma
GARD:0005597 ! Woolly hair syndrome	ORPHANET:170	OMIA:001256 ! Woolly hair,Orphanet:170 ! Woolly hair
GARD:0005598 ! Worster Drought syndrome	ORPHANET:3465	OMIM:185480 ! Worster-Drought syndrome
GARD:0005610 ! Brooks Wisniewski Brown syndrome	ORPHANET:3056	OMIM:300612 ! Brooks-Wisniewski-Brown Syndrome
GARD:0005610 ! Brooks Wisniewski Brown syndrome	UMLS:C0796272	OMIM:300612 ! Brooks-Wisniewski-Brown Syndrome
GARD:0005611 ! X-linked mental retardation Gustavson type	UMLS:C0795965	OMIM:309555 ! Mental Retardation With Optic Atrophy, Deafness, and Seizures
GARD:0005615 ! Snyder-Robinson syndrome	ORPHANET:3063	Orphanet:3063 ! X-linked intellectual disability, Snyder type
GARD:0005616 ! X-linked mental retardation type Wittwer	OMIM:300421	MESH:C536760 ! X-linked mental retardation type Wittwer
GARD:0005617 ! Allan-Herndon-Dudley syndrome	ORPHANET:59	OMIM:300523 ! Allan-Herndon-Dudley syndrome
GARD:0005617 ! Allan-Herndon-Dudley syndrome	UMLS:C0795889	OMIM:300523 ! Allan-Herndon-Dudley syndrome
GARD:0005618 ! X-linked severe combined immunodeficiency	ORPHANET:276	OMIA:000899 ! Severe combined immunodeficiency disease, X-linked,OMIM:300400 ! gamma chain deficiency,Orphanet:276 ! T-B+ severe combined immunodeficiency due to gamma chain deficiency
GARD:0005621 ! Xanthinuria type 1	ORPHANET:93601	OMIM:278300 ! Xanthinuria type I
GARD:0005621 ! Xanthinuria type 1	UMLS:C0268118	OMIM:278300 ! Xanthinuria type I
GARD:0005622 ! Cerebrotendinous xanthomatosis	ORPHANET:909	OMIM:213700 ! cerebrotendinous xanthomatosis
GARD:0005622 ! Cerebrotendinous xanthomatosis	UMLS:C0238052	OMIM:213700 ! cerebrotendinous xanthomatosis
GARD:0005623 ! Dehydrated hereditary stomatocytosis	ORPHANET:3202	OMIM:194380 ! Dehydrated hereditary stomatocytosis
GARD:0005623 ! Dehydrated hereditary stomatocytosis	UMLS:C0272051	OMIM:194380 ! Dehydrated hereditary stomatocytosis
GARD:0005629 ! Xeroderma pigmentosum type 7	UMLS:C0268141	OMIM:278780 ! Xeroderma Pigmentosum, Complementation Group G
GARD:0005642 ! Aase-Smith syndrome	ORPHANET:916	OMIM:147800 ! Aase-Smith syndrome
GARD:0005643 ! Dentatorubral-pallidoluysian atrophy	ORPHANET:101	OMIM:125370 ! dentatorubral-pallidoluysian atrophy
GARD:0005648 ! Photosensitive epilepsy	UMLS:C0393720	DOID:0060281 ! photosensitive epilepsy
GARD:0005653 ! Gliosarcoma	UMLS:C0206726	DOID:3071 ! gliosarcoma
GARD:0005654 ! Alveolar soft part sarcoma	ORPHANET:163699	DOID:4239 ! alveolar soft part sarcoma,OMIM:606243 ! Alveolar Soft Part Sarcoma
GARD:0005654 ! Alveolar soft part sarcoma	UMLS:C0206657	DOID:4239 ! alveolar soft part sarcoma,OMIM:606243 ! Alveolar Soft Part Sarcoma
GARD:0005657 ! Periodic fever, aphthous stomatitis, pharyngitis and adenitis	ORPHANET:42642	Orphanet:42642 ! PFAPA syndrome
GARD:0005658 ! 11-beta-hydroxylase deficiency	ORPHANET:90795	OMIM:202010 ! Adrenal Hyperplasia, Congenital, Due to Steroid 11-Beta-Hydroxylase Deficiency
GARD:0005658 ! 11-beta-hydroxylase deficiency	UMLS:C0268292	OMIM:202010 ! Adrenal Hyperplasia, Congenital, Due to Steroid 11-Beta-Hydroxylase Deficiency
