GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0005403 ! Umbilical cord ulceration and intestinal atresia	Orphanet:3405 ! Umbilical cord ulceration - intestinal atresia
GARD:0005406 ! Chromosome 10, uniparental disomy	Orphanet:96063 ! Mosaic trisomy 10
GARD:0005411 ! Chromosome 16, uniparental disomy	MESH:C538043 ! Chromosome 16, uniparental disomy
GARD:0005412 ! Uniparental disomy of chromosome 2	MESH:C536470 ! Uniparental disomy of chromosome 2
GARD:0005415 ! Chromosome 5, uniparental disomy	MESH:C537762 ! Chromosome 5, uniparental disomy
GARD:0005425 ! Urachal cyst	Orphanet:488 ! Urachal cyst
GARD:0005428 ! Urethral obstruction sequence	OMIM:100100 ! Prune belly syndrome
GARD:0005432 ! Urogenital adysplasia	OMIM:277000 ! Urogenital adysplasia
GARD:0005465 ! Vasquez Hurst Sotos syndrome	MESH:C536533 ! Vasquez Hurst Sotos syndrome
GARD:0005476 ! Ventriculo-arterial discordance, isolated	Orphanet:860 ! Congenitally uncorrected transposition of the great arteries
GARD:0005486 ! Vertebral body fusion overgrowth	MESH:C536543 ! Vertebral body fusion overgrowth
GARD:0005494 ! Viral hemorrhagic fever	Orphanet:341 ! Viral hemorrhagic fever
GARD:0005495 ! Virilizing ovarian tumor	Orphanet:99916 ! Malignant Sertoli-Leydig cell tumor of ovary
GARD:0005506 ! Vitreoretinal degeneration	Orphanet:98670 ! Vitreoretinal degeneration
GARD:0005529 ! Walbaum Titran Durieux Crepin syndrome	MESH:C536566 ! Walbaum Titran Durieux Crepin syndrome
GARD:0005530 ! Walker Dyson syndrome	Orphanet:1068 ! Aniridia-intellectual disability syndrome
GARD:0005545 ! Weaver Williams syndrome	OMIM:277590 ! Weaver syndrome
GARD:0005558 ! Whitaker syndrome	OMIM:240300 ! autoimmune polyendocrine syndrome type 1
GARD:0005560 ! White matter hypoplasia, corpus callosum agenesia, and mental retardation	Orphanet:3207 ! White matter hypoplasia - corpus callosum agenesis - intellectual disability
GARD:0005583 ! Winter Harding Hyde syndrome	MESH:C536712 ! Winter Harding Hyde syndrome
GARD:0005604 ! X-linked mental retardation and macro-orchidism	OMIM:300624 ! Primary Ovarian Insufficiency, Fragile X-Associated
GARD:0005624 ! Xeroderma pigmentosum, type 1	OMIM:278700 ! Xeroderma pigmentosum complementation group A
GARD:0005626 ! Xeroderma pigmentosum, type 3	OMIM:278720 ! Xeroderma pigmentosum complementation group C
GARD:0005627 ! Xeroderma pigmentosum, type 5	OMIM:278740 ! Xeroderma pigmentosum complementation group E
GARD:0005628 ! Xeroderma pigmentosum, type 6	OMIM:278760 ! Xeroderma pigmentosum complementation group F
GARD:0005644 ! Cardiomyopathy dilated with conduction defect type 2	OMIM:601154 ! Cardiomyopathy, Dilated, 1E
GARD:0005648 ! Photosensitive epilepsy	DOID:0060281 ! photosensitive epilepsy
GARD:0005653 ! Gliosarcoma	DOID:3071 ! gliosarcoma
GARD:0005671 ! 46,XX Gonadal dysgenesis epibulbar dermoid	MESH:C535316 ! 46,XX Gonadal dysgenesis epibulbar dermoid
GARD:0005676 ! 48,XXXY syndrome	Orphanet:96263 ! 48,XXXY syndrome
GARD:0005677 ! 48,XXYY syndrome	Orphanet:10 ! 48,XXYY syndrome
GARD:0005695 ! Retinopathy of prematurity	DOID:13025 ! retinopathy of prematurity
GARD:0005695 ! Retinopathy of prematurity	OMIM:133780 ! Exudative vitreoretinopathy 1
GARD:0005698 ! Acute respiratory distress syndrome	DOID:11394 ! adult respiratory distress syndrome
GARD:0005698 ! Acute respiratory distress syndrome	OMIM:140700 ! Heinz body anemia
GARD:0005698 ! Acute respiratory distress syndrome	Orphanet:178320 ! Acute lung injury
GARD:0005700 ! Rickets	DOID:10609 ! rickets
GARD:0005706 ! Aberrant subclavian artery	MESH:C535555 ! Aberrant subclavian artery
GARD:0005709 ! Achard Thiers syndrome	MESH:C536013 ! Achard-Thiers syndrome
GARD:0005717 ! Acquired agranulocytosis	MESH:C538171 ! Acquired agranulocytosis
GARD:0005722 ! Acrodermatitis	DOID:2722 ! acrodermatitis
GARD:0005726 ! Acrospiroma	MESH:D018250 ! Acrospiroma
GARD:0005728 ! Actinomycosis	DOID:8478 ! actinomycosis
GARD:0005730 ! Acute mountain sickness	Orphanet:330015 ! Lead poisoning
GARD:0005734 ! Acute myelocytic leukemia	DOID:9119 ! acute myeloid leukemia
GARD:0005736 ! Acute necrotizing ulcerative gingivitis	DOID:13924 ! necrotizing ulcerative gingivitis
GARD:0005741 ! Adenocarcinoid tumor	MESH:C538230 ! Adenocarcinoid tumor
GARD:0005743 ! Adenoid cystic carcinoma	DOID:5675 ! cribriform carcinoma
GARD:0005745 ! Adenoma of the adrenal gland	DOID:0050891 ! adrenal cortical adenoma
GARD:0005745 ! Adenoma of the adrenal gland	DOID:656 ! adrenal adenoma
GARD:0005745 ! Adenoma of the adrenal gland	OMIM:167400 ! Paroxysmal extreme pain disorder
GARD:0005745 ! Adenoma of the adrenal gland	Orphanet:463 ! Adrenal incidentaloma
GARD:0005747 ! Adenoameloblastoma	MESH:C538229 ! Adenoameloblastoma
GARD:0005751 ! Adrenal cancer	DOID:3953 ! adrenal gland cancer
GARD:0005755 ! Adrenal medulla cancer	DOID:5719 ! adrenal medulla cancer
GARD:0005768 ! Albinism	MESH:D000417 ! Albinism
GARD:0005797 ! AL amyloidosis	OMIM:254500 ! Primary systemic amyloidosis
GARD:0005797 ! AL amyloidosis	Orphanet:85443 ! AL amyloidosis
GARD:0005813 ! Angiosarcoma of the liver	DOID:268 ! liver angiosarcoma
GARD:0005830 ! Aortic valve stenosis	DOID:1712 ! aortic valve stenosis
GARD:0005830 ! Aortic valve stenosis	OMIM:614823 ! Aortic Valve Stenosis
GARD:0005834 ! Aphthous stomatitis	DOID:9663 ! aphthous stomatitis
GARD:0005838 ! Apraxia	DOID:0060135 ! apraxia
GARD:0005838 ! Apraxia	DOID:4090 ! agnosia
GARD:0005852 ! Asbestosis	DOID:10320 ! asbestosis
GARD:0005853 ! Asherman's syndrome	DOID:13812 ! adhesions of uterus
GARD:0005857 ! Asphyxia neonatorum	DOID:11088 ! asphyxia neonatorum
GARD:0005863 ! Athetosis	MESH:D001264 ! Athetosis
GARD:0005881 ! Bacterial meningitis	DOID:9470 ! bacterial meningitis
GARD:0005885 ! Balo's concentric sclerosis	DOID:0060215 ! Balo concentric sclerosis
GARD:0005888 ! Banti's syndrome	MESH:C537903 ! Banti's syndrome
GARD:0005905 ! Bejel	DOID:13431 ! bejel
GARD:0005918 ! Beta-galactosidase-1 deficiency	OMIM:230500 ! GM1 gangliosidosis type 1
GARD:0005924 ! Biliary tract cancer	DOID:4607 ! biliary tract cancer
GARD:0005925 ! Binswanger's disease	DOID:8725 ! vascular dementia
GARD:0005930 ! Blastoma	DOID:0070003 ! blastoma
GARD:0005931 ! Blastomycosis	DOID:12663 ! blastomycosis
GARD:0005932 ! Blepharophimosis	DOID:10348 ! blepharophimosis
GARD:0005943 ! Bone cancer	DOID:184 ! bone cancer
GARD:0005948 ! Bowen's disease	MESH:D001913 ! Bowen's Disease
GARD:0005963 ! Brown syndrome	OMIM:616407 ! Brown Syndrome
GARD:0005964 ! Brown-Sequard syndrome	DOID:606 ! Brown-Sequard syndrome
GARD:0005972 ! Bullous pemphigoid	DOID:8506 ! bullous pemphigoid
GARD:0005974 ! Burning mouth syndrome	DOID:4331 ! burning mouth syndrome
GARD:0005975 ! Scleredema	DOID:3140 ! scleredema adultorum
GARD:0005975 ! Scleredema	Orphanet:352763 ! Scleredema
GARD:0005976 ! Byssinosis	DOID:10323 ! byssinosis
GARD:0005980 ! Calciphylaxis	DOID:4734 ! calciphylaxis
GARD:0005999 ! Cardiospasm	OMIM:200400 ! achalasia
GARD:0006010 ! Cavernous lymphangioma	Orphanet:79489 ! Macrocystic lymphatic malformation
GARD:0006025 ! Cerebral ventricle cancer	DOID:3541 ! cerebral ventricle cancer
GARD:0006033 ! Chandler's syndrome	DOID:11554 ! Chandler syndrome
GARD:0006037 ! Chiari-Frommel syndrome	OMIM:615555 ! hyperprolactinemia
GARD:0006038 ! Chikungunya	DOID:0050012 ! chikungunya
GARD:0006038 ! Chikungunya	OMIM:300831 ! CK syndrome
GARD:0006040 ! Childhood disintegrative disorder	DOID:13487 ! childhood disintegrative disease
GARD:0006042 ! Intrahepatic cholangiocarcinoma	DOID:4928 ! intrahepatic cholangiocarcinoma
GARD:0006047 ! Chondroblastoma	DOID:2649 ! chondroblastoma
GARD:0006051 ! Chondrodystrophy	DOID:2256 ! osteochondrodysplasia
GARD:0006052 ! Chondroma	DOID:2602 ! chondroma
GARD:0006054 ! Synovial Chondromatosis	MESH:D015838 ! Chondromatosis, Synovial
GARD:0006059 ! Choriocarcinoma	DOID:3594 ! choriocarcinoma
GARD:0006060 ! Chorioretinitis	DOID:8886 ! chorioretinitis
GARD:0006062 ! Choroiditis	DOID:11406 ! choroiditis
GARD:0006062 ! Choroiditis	DOID:1417 ! choroid disease
GARD:0006064 ! Chromophobe renal cell carcinoma	DOID:4471 ! chromophobe adenocarcinoma
GARD:0006068 ! Chromosome 12p deletion	MESH:C538301 ! Chromosome 12p deletion
GARD:0006113 ! Ciguatera fish poisoning	MESH:D036841 ! Ciguatera Poisoning
GARD:0006131 ! Cold contact urticaria	OMIM:120100 ! Cold Hypersensitivity
GARD:0006141 ! Compartment syndrome	DOID:682 ! compartment syndrome
GARD:0006149 ! Congenital aplastic anemia	DOID:1342 ! congenital hypoplastic anemia
GARD:0006163 ! Congenital generalized fibromatosis	OMIM:228550 ! Fibromatosis, Congenital Generalized
GARD:0006167 ! Congenital hemolytic anemia	DOID:589 ! congenital hemolytic anemia
GARD:0006168 ! Congenital hepatic fibrosis	OMIM:263200 ! Autosomal recessive polycystic kidney disease
GARD:0006183 ! Congenital sucrose isomaltose malabsorption	OMIM:222900 ! Congenital sucrase-isomaltase deficiency
GARD:0006187 ! Conjunctivitis ligneous	OMIM:217090 ! Plasminogen Deficiency, Type I
GARD:0006187 ! Conjunctivitis ligneous	Orphanet:97231 ! Ligneous conjunctivitis
GARD:0006191 ! Conversion disorder	DOID:1768 ! conversion disorder
GARD:0006211 ! Neonatal hypothyroidism	DOID:0050328 ! congenital hypothyroidism
GARD:0006217 ! Cryoglobulinemia	DOID:2917 ! cryoglobulinemia
GARD:0006218 ! Cryptococcosis	DOID:12053 ! cryptococcosis
GARD:0006219 ! Cryptosporidiosis	DOID:1733 ! cryptosporidiosis
GARD:0006225 ! Cutaneous lupus erythematosus	DOID:0050169 ! cutaneous lupus erythematosus
GARD:0006256 ! Calcifying Epithelial Odontogenic Tumor	MESH:C537961 ! Calcifying Epithelial Odontogenic Tumor
GARD:0006260 ! Depersonalization disorder	DOID:11038 ! depersonalization disorder
GARD:0006264 ! Desmoid tumor	Orphanet:873 ! Desmoid tumor
GARD:0006276 ! Diencephalic syndrome	Orphanet:1672 ! Diencephalic syndrome
GARD:0006286 ! Dracunculiasis	DOID:14418 ! dracunculiasis
GARD:0006315 ! Eccrine acrospiroma	DOID:5442 ! eccrine acrospiroma
GARD:0006316 ! Eclampsia	DOID:13593 ! eclampsia
GARD:0006317 ! Ectodermal dysplasia	DC:0000128 ! Ectodermal Dysplasia
GARD:0006318 ! Ectopic pregnancy	DOID:0060329 ! ectopic pregnancy
GARD:0006322 ! Ehlers-Danlos syndrome	DOID:13359 ! Ehlers-Danlos syndrome
GARD:0006336 ! Endocardial fibroelastosis	OMIM:226000 ! endocardial fibroelastosis
GARD:0006337 ! Infective endocarditis	DOID:0060000 ! infective endocarditis
GARD:0006339 ! Endometrial stromal sarcoma	DOID:4226 ! endometrial stromal sarcoma
GARD:0006340 ! Endomyocardial fibrosis	DOID:12932 ! endomyocardial fibrosis
GARD:0006342 ! Enterobiasis	DOID:7457 ! enterobiasis
GARD:0006345 ! Eosinophilia-myalgia syndrome	DOID:998 ! eosinophilia-myalgia syndrome
GARD:0006352 ! Embryonal tumor with multilayered rosettes	DOID:4790 ! medulloepithelioma
GARD:0006352 ! Embryonal tumor with multilayered rosettes	DOID:4794 ! ependymoblastoma
GARD:0006355 ! Venezuelan equine encephalitis	DOID:9584 ! Venezuelan equine encephalitis
GARD:0006359 ! Epidermolysis bullosa	DOID:2730 ! epidermolysis bullosa
GARD:0006364 ! Epithelial-myoepithelial carcinoma	DOID:5309 ! epithelial-myoepithelial carcinoma
GARD:0006364 ! Epithelial-myoepithelial carcinoma	OMIM:612237 ! extraskeletal myxoid chondrosarcoma
GARD:0006370 ! Erysipelas	DOID:11330 ! erysipelas
GARD:0006372 ! Erythema multiforme	DOID:0050185 ! erythema multiforme
GARD:0006384 ! Esophageal varices	DOID:112 ! esophageal varix
GARD:0006393 ! Exfoliative dermatitis	MESH:D003873 ! Dermatitis, Exfoliative
GARD:0006394 ! Exogenous lipoid pneumonia	DOID:3241 ! lipid pneumonia
GARD:0006405 ! Acquired hemophilia A	MESH:C536392 ! Factor 8 deficiency, acquired
GARD:0006410 ! Familial deafness	Orphanet:68361 ! Rare deafness
GARD:0006422 ! Familial periodic paralysis	DOID:1029 ! familial periodic paralysis
GARD:0006424 ! Familial Treacher Collins syndrome	DOID:2908 ! Treacher Collins syndrome
GARD:0006424 ! Familial Treacher Collins syndrome	OMIM:154500 ! Mandibulofacial Dysostosis
GARD:0006427 ! Farmer's lung	DOID:14453 ! farmer's lung
GARD:0006428 ! Fascioliasis	DOID:885 ! fascioliasis
GARD:0006452 ! Fitz-Hugh-Curtis syndrome	MESH:C537936 ! Fitz-Hugh-Curtis syndrome
GARD:0006453 ! Flavimonas oryzihabitans infection	MESH:C537061 ! Flavimonas oryzihabitans Bacteremia
GARD:0006462 ! Fox-Fordyce disease	DOID:1381 ! fox fordyce disease
GARD:0006463 ! Froelich syndrome	DOID:6676 ! Froelich's syndrome
GARD:0006481 ! Gardner-Diamond syndrome	Orphanet:324636 ! Autoerythrocyte sensitization syndrome
GARD:0006484 ! Gas bloat syndrome	MESH:C535647 ! Gas bloat syndrome
GARD:0006497 ! Pemphigoid gestationis	DOID:14482 ! herpes gestationis
GARD:0006497 ! Pemphigoid gestationis	Orphanet:63275 ! Pemphigoid gestationis
GARD:0006499 ! Gianotti Crosti syndrome	OMIM:208250 ! Jacobs syndrome
GARD:0006502 ! Giant cell myocarditis	Orphanet:329874 ! Idiopathic giant cell myocarditis
GARD:0006514 ! Gliomatosis cerebri	DOID:6128 ! gliomatosis cerebri
GARD:0006516 ! Glomerulonephritis	DOID:2921 ! glomerulonephritis
GARD:0006517 ! Focal segmental glomerulosclerosis	DOID:1312 ! focal segmental glomerulosclerosis
GARD:0006517 ! Focal segmental glomerulosclerosis	OMIM:603278 ! Segmental glomerulosclerosis
GARD:0006519 ! Glossopharyngeal neuralgia	DOID:14423 ! glossopharyngeal neuralgia
GARD:0006538 ! Glycogen storage disease 8	DOID:2751 ! glycogen storage disease VIII
GARD:0006544 ! Acute graft versus host disease	Orphanet:99920 ! Acute graft versus host disease
GARD:0006545 ! Granulocytopenia	DOID:12987 ! agranulocytosis
GARD:0006546 ! Granuloma annulare	DOID:3777 ! granuloma annulare
GARD:0006551 ! Transient acantholytic dermatosis	MESH:C537306 ! Grover's disease
GARD:0006557 ! Hemangioendothelioma	MESH:D006390 ! Hemangioendothelioma
GARD:0006561 ! Hairy tongue	DOID:13500 ! hairy tongue
GARD:0006567 ! Hand-Schuller-Christian disease	DOID:3405 ! histiocytosis
GARD:0006577 ! Heavy metal poisoning	MESH:C535854 ! Heavy Metal Toxicity
GARD:0006578 ! Helminthiasis	DOID:883 ! parasitic helminthiasis infectious disease
GARD:0006583 ! Hemiplegia	DOID:10969 ! hemiplegia
GARD:0006590 ! Hemophagocytic reticulosis	OMIM:267700 ! Hemophagocytic Lymphohistiocytosis, Familial, 1
GARD:0006595 ! Hemosiderosis	DOID:12119 ! hemosiderosis
GARD:0006610 ! Hepatorenal syndrome	DOID:11823 ! hepatorenal syndrome
GARD:0006611 ! Hereditary amyloidosis	DOID:9120 ! amyloidosis
GARD:0006614 ! Hereditary ataxia	Orphanet:183518 ! Rare hereditary ataxia
GARD:0006649 ! Herpes simplex encephalitis	DC:0000184 ! Herpes Simplex Encephalitis, Susceptibility
GARD:0006649 ! Herpes simplex encephalitis	Orphanet:1931 ! Frontal encephalocele
GARD:0006659 ! Developmental dysplasia of hip	DC:0000618 ! Developmental Dysplasia of the Hip
GARD:0006659 ! Developmental dysplasia of hip	OMIM:142700 ! Developmental Dysplasia of the Hip 1
GARD:0006692 ! Hypercementosis	DOID:12733 ! hypercementosis
GARD:0006725 ! Hypocomplementemic urticarial vasculitis syndrome	Orphanet:36412 ! Hypocomplementemic urticarial vasculitis
GARD:0006731 ! Hypomelanotic disorder	OMIM:126070 ! Hypopigmentation
GARD:0006738 ! Hypoplasia of the tibia with polydactyly	OMIM:188740 ! Tibia, Hypoplasia of, with Polydactyly
GARD:0006755 ! Idiopathic alveolar hypoventilation syndrome	DOID:9220 ! central sleep apnea
GARD:0006757 ! Idiopathic dilatation of the pulmonary artery	Orphanet:1676 ! Idiopathic pulmonary artery dilatation
GARD:0006769 ! Imperforate anus	DOID:10488 ! imperforate anus
GARD:0006769 ! Imperforate anus	OMIM:207500 ! Anus, Imperforate
GARD:0006769 ! Imperforate anus	OMIM:301800 ! Anus, Imperforate
GARD:0006770 ! Inborn amino acid metabolism disorder	DOID:9252 ! amino acid metabolic disorder
GARD:0006777 ! Inclusion conjunctivitis	DOID:13800 ! inclusion conjunctivitis
GARD:0006781 ! Infectious arthritis	DOID:813 ! septic arthritis
GARD:0006787 ! Interstitial cystitis	DOID:13949 ! interstitial cystitis
GARD:0006787 ! Interstitial cystitis	DOID:1678 ! chronic interstitial cystitis
GARD:0006793 ! Isaac's syndrome	DOID:5842 ! testis seminoma
GARD:0006797 ! Japanese encephalitis	DOID:10844 ! Japanese encephalitis
GARD:0006798 ! Spondylothoracic dysostosis	DOID:0050568 ! spondylocostal dysostosis
GARD:0006798 ! Spondylothoracic dysostosis	OMIM:122600 ! Polydysspondyly
GARD:0006798 ! Spondylothoracic dysostosis	OMIM:277300 ! Jarcho-Levin syndrome
GARD:0006825 ! Keratomalacia	DOID:11267 ! keratomalacia
GARD:0006840 ! Kluver Bucy syndrome	DOID:2510 ! Kluver-Bucy syndrome
GARD:0006862 ! Laryngeal cancer	DOID:2598 ! laryngeal benign neoplasm
GARD:0006862 ! Laryngeal cancer	DOID:2600 ! laryngeal carcinoma
GARD:0006864 ! Laryngeal papillomatosis	MESH:C537876 ! Laryngeal papillomatosis
GARD:0006892 ! Leukemia subleukemic	DOID:12965 ! subleukemic leukemia
GARD:0006897 ! Leukoplakia	MESH:D007971 ! Leukoplakia
GARD:0006899 ! Levator syndrome	MESH:C535890 ! Levator syndrome
GARD:0006906 ! Light chain deposition disease	Orphanet:93558 ! Light chain deposition disease
GARD:0006913 ! Liposarcoma	DOID:3382 ! liposarcoma
GARD:0006915 ! Listeria infection	DOID:11573 ! listeriosis
GARD:0006932 ! Lymph node neoplasm	DOID:10619 ! lymph node cancer
GARD:0006933 ! Lymphangiectasis	MESH:D008200 ! Lymphangiectasis
GARD:0006939 ! Lymphocytic colitis	DOID:0060184 ! lymphocytic colitis
GARD:0006943 ! Lymphomatoid granulomatosis	Orphanet:86869 ! Lymphomatoid granulomatosis
GARD:0006946 ! Lymphosarcoma	DOID:8675 ! lymphosarcoma
GARD:0006960 ! Malakoplakia	Orphanet:556 ! Malakoplakia
GARD:0006966 ! Malignant mixed Mullerian tumor	DOID:4236 ! carcinosarcoma
GARD:0006967 ! Mallory-Weiss syndrome	MESH:D008309 ! Mallory-Weiss Syndrome
GARD:0006974 ! Marek disease	Orphanet:206586 ! Neurolymphomatosis
GARD:0006974 ! Marek disease	Orphanet:206594 ! Subacute inflammatory demyelinating polyneuropathy
GARD:0006991 ! Maxillofacial dysostosis	OMIM:155000 ! Maxillofacial Dysostosis
GARD:0007021 ! Mercury poisoning	Orphanet:330021 ! Mercury poisoning
GARD:0007026 ! Malignant mesothelioma	DOID:1790 ! malignant mesothelioma
GARD:0007026 ! Malignant mesothelioma	OMIM:156240 ! Mesothelioma, Malignant
GARD:0007034 ! Monoclonal gammopathy of undetermined significance	DOID:7442 ! monoclonal gammopathy of uncertain significance
GARD:0007038 ! Microencephaly	DOID:10907 ! microcephaly
GARD:0007041 ! Midline lethal granuloma	DOID:9072 ! lethal midline granuloma
GARD:0007056 ! Mononeuritis multiplex	DOID:1835 ! mononeuritis multiplex
GARD:0007060 ! Chromosome 16 trisomy	Orphanet:1708 ! Mosaic trisomy 16
GARD:0007065 ! Mucopolysaccharidosis	DOID:12798 ! mucopolysaccharidosis
GARD:0007116 ! Mumps	DOID:10264 ! mumps
GARD:0007117 ! Munchausen by proxy syndrome	DOID:0060045 ! Munchausen by proxy
GARD:0007123 ! Mycobacterium Avium Complex	DOID:2755 ! Mycobacterium avium complex disease
GARD:0007130 ! Myelitis	DOID:322 ! myelitis
GARD:0007137 ! Myocarditis	DOID:820 ! myocarditis
GARD:0007157 ! Myxoid liposarcoma	OMIM:613488 ! myxoid liposarcoma
GARD:0007173 ! Neonatal herpes	MESH:C536395 ! Neonatal herpes
GARD:0007177 ! Nephrocalcinosis	DOID:12679 ! nephrocalcinosis
GARD:0007179 ! Nephrosclerosis	DOID:11664 ! nephrosclerosis
GARD:0007180 ! Nerve sheath neoplasm	DOID:1192 ! peripheral nervous system neoplasm
GARD:0007180 ! Nerve sheath neoplasm	DOID:3193 ! peripheral nerve sheath neoplasm
GARD:0007199 ! Neurotoxicity syndromes	DOID:3602 ! toxic encephalopathy
GARD:0007210 ! Nocardiosis	DOID:2312 ! nocardiosis
GARD:0007216 ! Non-lissencephalic cortical dysplasia	MESH:C536243 ! Non-lissencephalic cortical dysplasia
GARD:0007231 ! Ochronosis	DOID:14223 ! ochronosis
GARD:0007236 ! Ocular melanoma	DOID:1752 ! ocular melanoma
GARD:0007237 ! Ocular motility disorders	MESH:D015835 ! Ocular Motility Disorders
GARD:0007238 ! Ocular toxoplasmosis	MESH:D014126 ! Toxoplasmosis, Ocular
GARD:0007247 ! Odontoma	MESH:D009810 ! Odontoma
GARD:0007250 ! Olivopontocerebellar atrophy	DOID:14784 ! olivopontocerebellar atrophy
GARD:0007252 ! Onchocerciasis	DOID:11678 ! onchocerciasis
GARD:0007261 ! Oral lichen planus	MESH:D017676 ! Lichen Planus, Oral
GARD:0007263 ! Oral squamous cell carcinoma	DOID:0050866 ! oral squamous cell carcinoma
GARD:0007264 ! Oral submucous fibrosis	DOID:5773 ! oral submucous fibrosis
GARD:0007281 ! Osteochondroma	MESH:D015831 ! Osteochondroma
GARD:0007285 ! Osteomalacia	DOID:10573 ! osteomalacia
GARD:0007286 ! Osteomyelitis	DOID:1019 ! osteomyelitis
GARD:0007296 ! Ovarian carcinosarcoma	DOID:6170 ! ovarian carcinosarcoma
GARD:0007304 ! Palindromic rheumatism	DOID:1166 ! palindromic rheumatism
GARD:0007311 ! Pancreatic islet cell tumors	DOID:1799 ! islet cell tumor
GARD:0007318 ! Papilledema	DOID:146 ! papilledema
GARD:0007320 ! Optic neuritis	DOID:1210 ! optic neuritis
GARD:0007322 ! Papular urticaria	MESH:C537169 ! Papular urticaria
GARD:0007323 ! Paracoccidioidomycosis	DOID:12662 ! paracoccidioidomycosis
GARD:0007326 ! Paraneoplastic cerebellar degeneration	Orphanet:36388 ! Paraneoplastic neurologic syndrome
GARD:0007327 ! Paraplegia	DOID:607 ! paraplegia
GARD:0007328 ! Parapsoriasis	DOID:9088 ! parapsoriasis
GARD:0007350 ! Pelvic lipomatosis	DOID:3927 ! pelvic lipomatosis
GARD:0007352 ! Pemphigus	DOID:9182 ! pemphigus
GARD:0007366 ! Supratentorial primitive neuroectodermal tumor	DOID:4791 ! supratentorial primitive neuroectodermal tumor
GARD:0007368 ! Peripheral T-cell lymphoma	DOID:0050749 ! peripheral T-cell lymphoma
GARD:0007373 ! Perniosis	MESH:D002647 ! Chilblains
GARD:0007375 ! Persistent truncus arteriosus	OMIM:217095 ! double outlet right ventricle
GARD:0007396 ! Pigmented villonodular synovitis	DOID:2702 ! pigmented villonodular synovitis
GARD:0007397 ! Pinta	DOID:1022 ! pinta disease
GARD:0007402 ! Placenta disorder	DOID:780 ! placenta disease
GARD:0007403 ! Trophoblastic tumor placental site	DOID:3596 ! placental site trophoblastic tumor
GARD:0007404 ! Anaplastic plasmacytoma	Orphanet:86861 ! Non-amyloid monoclonal immunoglobulin deposition disease
GARD:0007406 ! Plexosarcoma	MESH:C537517 ! Plexosarcoma
GARD:0007425 ! Polymyositis	Orphanet:732 ! Polymyositis
GARD:0007430 ! Porencephaly	DOID:0060263 ! porencephaly
GARD:0007430 ! Porencephaly	OMIM:175780 ! Porencephaly
GARD:0007437 ! Post-traumatic epilepsy	MESH:D004834 ! Epilepsy, Post-Traumatic
GARD:0007439 ! Posterior urethral valves	Orphanet:93110 ! Posterior urethral valve
GARD:0007444 ! Smallpox	DOID:8736 ! smallpox
GARD:0007456 ! Primary hyperaldosteronism	DOID:12028 ! Conn's syndrome
GARD:0007465 ! Prinzmetal's variant angina	MESH:C536421 ! Prinzmetal's variant angina
GARD:0007468 ! Progressive multifocal leukoencephalopathy	DOID:643 ! progressive multifocal leukoencephalopathy
GARD:0007476 ! Protoporphyria	DOID:13270 ! erythropoietic protoporphyria
GARD:0007492 ! Psittacosis	DOID:11262 ! ornithosis
GARD:0007504 ! Pure red cell aplasia	DOID:1340 ! pure red-cell aplasia
GARD:0007516 ! Rabies	DOID:11260 ! rabies
GARD:0007517 ! Radiation induced angiosarcoma of the breast	MESH:C536264 ! Radiation induced angiosarcoma of the breast
GARD:0007525 ! Herpes zoster oticus	DOID:9210 ! geniculate herpes zoster
GARD:0007533 ! Rectal neoplasm	DOID:1984 ! rectal neoplasm
GARD:0007534 ! Rectosigmoid neoplasm	DOID:2780 ! rectosigmoid junction neoplasm
GARD:0007545 ! Renal cancer	DOID:263 ! kidney cancer
GARD:0007551 ! Renal rickets	DOID:13068 ! renal osteodystrophy
GARD:0007552 ! Renal tubular acidosis	DOID:14219 ! renal tubular acidosis
GARD:0007555 ! Renoprival hypertension	MESH:C537760 ! Renoprival hypertension
GARD:0007570 ! Reye syndrome	DOID:14525 ! Reye syndrome
GARD:0007570 ! Reye syndrome	OMIM:312700 ! Retinoschisis
GARD:0007577 ! Rheumatoid vasculitis	MESH:D056653 ! Rheumatoid Vasculitis
GARD:0007578 ! Richter syndrome	DOID:1703 ! Richter's syndrome
GARD:0007594 ! Rumination disorder	DOID:11507 ! rumination disorder
GARD:0007597 ! Sacral plexopathy	MESH:C537224 ! Sacral plexopathy
GARD:0007610 ! Scheuermann disease	OMIM:181440 ! Scheuermann's disease
GARD:0007615 ! Scleromyxedema	Orphanet:167635 ! Scleromyxedema
GARD:0007636 ! Shwartzman phenomenon	DOID:3825 ! Shwartzman phenomenon
GARD:0007638 ! Sialadenitis	DOID:10303 ! sialadenitis
GARD:0007645 ! Siderosis	DOID:10328 ! siderosis
GARD:0007647 ! Silicosis	DOID:10325 ! silicosis
GARD:0007656 ! Skeletal dysplasias	MESH:D010009 ! Osteochondrodysplasias
GARD:0007672 ! Sphingolipidosis	DOID:1927 ! sphingolipidosis
GARD:0007674 ! Spinal muscular atrophy	DOID:12377 ! spinal muscular atrophy
GARD:0007674 ! Spinal muscular atrophy	OMIM:253400 ! juvenile spinal muscular atrophy
GARD:0007679 ! Spinal cord neoplasm	DOID:5612 ! spinal cancer
GARD:0007682 ! Spirochetes disease	MESH:D013145 ! Spirochaetales Infections
